ID,Station Code,Year,1-Ekim,2 - Çıkış,3 - Çimlenme,4 - Kardeşlenme,5 - Sapa Kalkma,6 - Başaklanma,7 - Çiçeklenme,8 - Olgunlaşma,9 - Hasat,PS1 - Emergence,PS2 - Floral Initiation,PS3 - Terminal Spikelet,PS4 - First Node,PS5 - Heading,PS6 - Anthesis,PS7 - Maturity,PS8 - Pre Harvest,total,kamera,bitki,saat/kamera - EKİM
1,01.01,2014,2014-12-05,2014-12-16,2014-12-28,2015-01-07,2015-03-02,2015-4-1,2015-4-12,2015-5-17,2015-6-10,11,12,10,54,30,11,35,24,187,1,,
2,01.05,2016,2016-11-16,2016-12-22,2017-01-04,2017-01-17,2017-03-06,2017-4-8,2017-4-19,2017-5-18,2017-6-8,36,13,13,48,33,11,29,21,204,2,,
3,02.02,2014,2014-12-02,2014-12-24,2015-01-13,2015-02-19,2015-03-06,2015-05-01,2015-05-17,2015-05-28,2015-07-02,22,20,37,15,56,16,11,35,212,1,bugday,
4,02.03,2013,2013-11-03,2013-11-17,2014-01-07,2014-01-31,2014-03-07,2014-04-12,2014-04-21,2014-05-12,2014-06-12,14,51,24,35,36,9,21,31,221,1,bugday,
5,02.03,2014,2014-11-15,2014-12-05,2014-12-27,2015-01-25,2015-03-20,2015-04-19,2015-05-09,2015-05-22,2015-06-13,20,22,29,54,30,20,13,22,210,1,bugday,
6,02.04,2013,2013-11-24,2013-12-15,2014-01-28,2014-02-15,2014-03-06,2014-04-20,2014-05-05,2014-05-18,2014-06-17,21,44,18,19,45,15,13,30,205,1,bugday,
7,02.05,2013,2013-11-15,2013-12-25,2014-01-12,2014-02-08,2014-03-06,2014-04-20,2014-04-28,2014-05-20,2014-06-24,40,18,27,26,45,8,22,35,221,1,bugday,
8,02.06,2016,2016-11-12,2016-12-07,2017-01-10,2017-02-15,2017-03-16,2017-05-02,2017-05-16,2017-06-05,2017-06-20,25,34,36,29,47,14,20,15,220,2,Buğday,k2
9,06.01,2013,2013-11-14,2014-03-07,2014-04-01,2014-04-16,2014-04-22,2014-05-21,2014-06-13,2014-06-25,2014-07-22,113,25,15,6,29,23,12,27,250,1,bugday,k1
10,06.02,2013,2013-12-19,2014-02-12,2014-02-28,2014-03-25,2014-04-12,2014-05-26,2014-06-16,2014-07-04,2014-07-24,55,16,25,18,44,21,18,20,217,1,bugday,
12,11.03,2016,2016-11-27,2017-01-15,2017-02-12,2017-03-04,2017-04-01,2017-05-10,2017-05-31,2017-06-25,2017-07-10,49,28,20,28,39,21,25,15,225,,Buğday,
13,26.11,2016,2016-10-19,2017-02-11,2017-03-15,2017-04-02,2017-05-05,2017-05-22,2017-05-29,2017-06-23,2017-07-23,115,32,18,33,17,7,25,30,277,,,
14,26.12,2016,2016-09-29,2017-02-05,2017-03-03,2017-04-01,2017-05-01,2017-05-23,2017-06-03,2017-07-02,2017-07-21,129,26,29,30,22,11,29,19,295,,,
15,27.02,2016,2016-11-14,2016-12-03,2017-02-01,2017-02-07,2017-03-13,2017-05-03,2017-05-17,2017-06-04,2017-06-22,19,60,6,34,51,14,18,18,220,,,
16,27.04,2016,2016-11-14,2016-12-15,2017-01-17,2017-02-20,2017-03-17,2017-04-27,2017-05-20,2017-06-05,2017-06-20,31,33,34,25,41,23,16,15,218,,,
17,27.05,2013,2013-09-11,2013-12-26,2014-01-03,2014-01-29,2014-03-11,2014-04-16,2014-05-05,2014-06-03,2014-06-12,106,8,26,41,36,19,29,9,274,,,
18,27.05,2016,2016-11-29,2016-12-26,2017-01-16,2017-02-17,2017-03-20,2017-04-28,2017-05-17,2017-06-01,2017-06-12,27,21,32,31,39,19,15,11,195,,,
